Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    83    0    1    0    0    0    1    0    0    0 | 97.6%
  1 |     0  125    0    0    0    0    1    0    0    0 | 99.2%
  2 |     0    0  109    0    0    0    0    2    4    1 | 94.0%
  3 |     0    0    3   94    0    5    0    1    2    2 | 87.9%
  4 |     0    0    1    0  105    0    2    0    0    2 | 95.5%
  5 |     2    0    1    2    2   79    0    0    1    0 | 90.8%
  6 |     3    0    0    0    1    1   80    0    2    0 | 92.0%
  7 |     0    0    1    0    0    0    0   97    0    1 | 98.0%
  8 |     1    0    1    0    3    0    0    2   81    1 | 91.0%
  9 |     0    1    0    0    3    0    0    2    3   85 | 90.4%
