Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    80    0    1    0    1    0    1    1    0    1 | 94.1%
  1 |     0  124    1    0    0    0    1    0    0    0 | 98.4%
  2 |     0    1  106    3    1    0    0    3    2    0 | 91.4%
  3 |     0    2    3   95    0    3    0    1    1    2 | 88.8%
  4 |     0    1    0    0  105    0    1    0    0    3 | 95.5%
  5 |     0    0    0    3    1   78    3    1    1    0 | 89.7%
  6 |     2    0    0    0    0    6   79    0    0    0 | 90.8%
  7 |     1    2    1    1    3    0    0   91    0    0 | 91.9%
  8 |     3    4    0    5    2    3    1    2   68    1 | 76.4%
  9 |     0    1    0    4    6    1    0    9    2   71 | 75.5%
