Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   80    0    0    0    1    1    1    0    2    0
  1 |    0  124    0    0    0    0    1    0    1    0
  2 |    1    0   98    3    0    0    3    5    6    0
  3 |    1    0    2   98    0    2    0    1    2    1
  4 |    0    0    1    0  102    0    1    1    1    4
  5 |    0    0    0    0    1   82    1    0    2    1
  6 |    4    0    0    0    2    1   78    0    2    0
  7 |    0    1    1    1    0    0    0   94    0    2
  8 |    2    0    0    2    1    2    0    2   78    2
  9 |    0    1    0    0    8    0    0    3    3   79
