Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    79    0    1    0    1    1    2    0    1    0 | 92.9%
  1 |     0  122    0    1    0    0    1    0    2    0 | 96.8%
  2 |     2    0  104    2    1    0    0    3    3    1 | 89.7%
  3 |     0    0    2   97    1    4    1    1    0    1 | 90.7%
  4 |     0    3    1    1   91    1    3    1    2    7 | 82.7%
  5 |     1    0    1    4    0   74    3    1    1    2 | 85.1%
  6 |     4    0    0    0    3    2   78    0    0    0 | 89.7%
  7 |     0    3    0    6    2    0    0   84    1    3 | 84.8%
  8 |     1    1    0    6    2    3    3    1   68    4 | 76.4%
  9 |     0    2    0    0    7    1    0    2    3   79 | 84.0%
