Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    82    0    1    0    0    1    1    0    0    0 | 96.5%
  1 |     0  125    1    0    0    0    0    0    0    0 | 99.2%
  2 |     0    1  111    0    0    0    0    2    2    0 | 95.7%
  3 |     0    0    1  101    0    4    0    0    0    1 | 94.4%
  4 |     0    1    0    0  100    0    2    0    1    6 | 90.9%
  5 |     0    0    0    2    0   84    0    0    1    0 | 96.6%
  6 |     3    0    0    0    1    2   81    0    0    0 | 93.1%
  7 |     0    0    2    1    0    0    0   96    0    0 | 97.0%
  8 |     1    0    1    3    2    1    0    3   75    3 | 84.3%
  9 |     0    1    0    0    1    0    0    0    1   91 | 96.8%
