Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    76    0    0    0    1    3    3    0    2    0 | 89.4%
  1 |     0  115    0    1    2    0    1    3    3    1 | 91.3%
  2 |     2    1   93    0    2    1    1    4   11    1 | 80.2%
  3 |     0    0    2   98    0    2    1    1    1    2 | 91.6%
  4 |     0    0    1    1   94    0    1    2    3    8 | 85.5%
  5 |     2    1    0   16    0   59    2    0    6    1 | 67.8%
  6 |     4    0    0    1    7    1   73    0    1    0 | 83.9%
  7 |     0    4    0    4    1    2    0   79    2    7 | 79.8%
  8 |     1    0    3    1    2    2    2    4   64   10 | 71.9%
  9 |     0    1    0    1    9    1    0    2    4   76 | 80.9%
