Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    77    0    1    0    0    3    2    0    2    0 | 90.6%
  1 |     0  120    1    1    0    1    0    1    2    0 | 95.2%
  2 |     2    1  101    1    1    0    2    3    2    3 | 87.1%
  3 |     1    0    4   92    1    5    0    0    1    3 | 86.0%
  4 |     1    1    1    0   81    1    1    0    5   19 | 73.6%
  5 |     0    1    0    6    0   75    2    0    2    1 | 86.2%
  6 |     5    0    0    0    2    2   77    0    1    0 | 88.5%
  7 |     2    1    6    8    4    1    0   66    1   10 | 66.7%
  8 |     3    1    1    5    1    3    1    2   63    9 | 70.8%
  9 |     0    1    0    0    3    0    0    2    4   84 | 89.4%
