Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   80    0    0    0    0    1    2    0    0    2
  1 |    0  121    2    1    0    2    0    0    0    0
  2 |    1    0  107    0    1    0    1    2    2    2
  3 |    0    1    3   93    0    5    0    1    3    1
  4 |    1    0    1    0   89    2    3    0    2   12
  5 |    1    0    0    2    0   79    1    1    3    0
  6 |    3    0    2    0    2    1   77    0    2    0
  7 |    0    2    7    2    0    0    0   81    0    7
  8 |    4    0    3    0    2    0    0    1   75    4
  9 |    0    1    0    3    3    0    0    0    2   85
