Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    77    0    2    0    0    1    2    1    1    1 | 90.6%
  1 |     0  122    1    0    0    1    1    0    0    1 | 96.8%
  2 |     2    1  106    1    0    0    2    2    0    2 | 91.4%
  3 |     1    1    3   95    0    5    0    0    0    2 | 88.8%
  4 |     0    2    1    0   93    2    2    0    0   10 | 84.5%
  5 |     2    0    1    2    1   75    2    1    2    1 | 86.2%
  6 |     6    1    2    0    1    1   76    0    0    0 | 87.4%
  7 |     0    1    1    5    2    0    0   87    0    3 | 87.9%
  8 |     2    0   10    4    4    2    3    1   57    6 | 64.0%
  9 |     0    1    0    1    5    0    0    3    2   82 | 87.2%
