Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    83    0    0    0    0    0    1    0    0    1 | 97.6%
  1 |     0  125    0    0    0    0    0    0    1    0 | 99.2%
  2 |     1    2  100    3    0    0    1    4    4    1 | 86.2%
  3 |     0    1    1   99    0    3    0    1    2    0 | 92.5%
  4 |     0    0    0    0  101    0    1    1    0    7 | 91.8%
  5 |     0    0    0    1    0   82    0    1    3    0 | 94.3%
  6 |     4    0    0    0    0    1   82    0    0    0 | 94.3%
  7 |     0    0    0    1    3    0    0   92    0    3 | 92.9%
  8 |     2    1    0    1    1    0    0    1   79    4 | 88.8%
  9 |     0    0    0    0    1    1    0    3    3   86 | 91.5%
