Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   81    0    0    0    0    0    1    1    1    1
  1 |    0  125    0    1    0    0    0    0    0    0
  2 |    0    0  103    3    0    0    0    3    5    2
  3 |    0    1    3   95    0    3    2    1    1    1
  4 |    2    0    2    0   90    0    1    3    0   12
  5 |    0    0    1    0    1   77    3    1    3    1
  6 |    2    0    0    0    1    2   80    2    0    0
  7 |    0    1    4    3    2    0    0   87    0    2
  8 |    2    0    1    3    3    0    0    3   76    1
  9 |    0    1    1    1    0    0    0    6    2   83
