Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    82    0    0    0    0    0    2    1    0    0 | 96.5%
  1 |     0  123    0    1    0    1    0    1    0    0 | 97.6%
  2 |     1    0  111    0    0    0    0    2    2    0 | 95.7%
  3 |     0    0    3  100    0    1    0    0    2    1 | 93.5%
  4 |     0    1    0    0  101    0    2    1    1    4 | 91.8%
  5 |     1    0    0    2    1   78    1    0    4    0 | 89.7%
  6 |     3    0    0    0    1    2   81    0    0    0 | 93.1%
  7 |     0    1    2    1    1    0    0   90    2    2 | 90.9%
  8 |     3    1    0    2    3    1    0    1   75    3 | 84.3%
  9 |     0    1    0    0    1    0    0    4    0   88 | 93.6%
