Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    74    0    1    0    2    0    4    0    4    0 | 87.1%
  1 |     0  124    1    0    0    0    0    0    1    0 | 98.4%
  2 |     1    2  100    1    1    0    2    3    5    1 | 86.2%
  3 |     0    1   19   62    1    4    4    2   11    3 | 57.9%
  4 |     4    0    2    0   83    2    2    5    1   11 | 75.5%
  5 |     1    2    1    3    2   58    4    2   10    4 | 66.7%
  6 |     4    0    0    0    4    1   75    0    3    0 | 86.2%
  7 |     0    1    4    1    0    0    0   86    1    6 | 86.9%
  8 |     5    0    3    1    3    0    1    3   70    3 | 78.7%
  9 |     1    1    1    1    7    0    0    3    3   77 | 81.9%
