Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   84    0    0    0    0    1    0    0    0    0
  1 |    0  125    1    0    0    0    0    0    0    0
  2 |    0    0  110    1    0    0    1    2    2    0
  3 |    0    0    2   98    0    6    0    1    0    0
  4 |    1    1    1    0  103    0    1    2    0    1
  5 |    0    0    0    2    1   84    0    0    0    0
  6 |    3    0    0    0    1    1   82    0    0    0
  7 |    0    2    3    1    0    0    0   91    0    2
  8 |    2    0    1    1    1    0    0    1   81    2
  9 |    0    0    1    0    1    0    0    2    3   87
