Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    80    0    1    0    0    1    1    0    2    0 | 94.1%
  1 |     0  123    2    0    0    0    0    0    1    0 | 97.6%
  2 |     1    2  104    2    1    0    1    4    0    1 | 89.7%
  3 |     0    0    4   91    0    9    1    1    1    0 | 85.0%
  4 |     1    1    2    0   97    0    1    2    2    4 | 88.2%
  5 |     0    0    0    2    0   80    1    1    3    0 | 92.0%
  6 |     1    0    0    0    0    3   83    0    0    0 | 95.4%
  7 |     0    1    0    3    1    0    0   88    0    6 | 88.9%
  8 |     2    0    0    4    1    4    0    1   76    1 | 85.4%
  9 |     0    1    1    0    3    0    0    4    4   81 | 86.2%
