Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    78    0    2    1    0    2    1    0    0    1 | 91.8%
  1 |     0  123    1    1    0    0    0    0    1    0 | 97.6%
  2 |     2    1  104    0    4    0    0    3    2    0 | 89.7%
  3 |     1    1    3   94    1    4    0    3    0    0 | 87.9%
  4 |     0    3    0    1   99    0    1    1    1    4 | 90.0%
  5 |     1    0    1    5    0   73    3    0    3    1 | 83.9%
  6 |     6    0    0    0    1    3   77    0    0    0 | 88.5%
  7 |     1    4    1    1    3    0    0   87    1    1 | 87.9%
  8 |     0    1    3    4    2    4    0    2   69    4 | 77.5%
  9 |     0    2    0    0   14    1    0    4    5   68 | 72.3%
