Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   85    0    0    0    0    0    0    0    0    0
  1 |    0  123    1    1    0    0    0    0    1    0
  2 |    1    0  104    2    0    0    0    1    8    0
  3 |    0    0    1  100    0    3    0    0    3    0
  4 |    0    0    2    0   96    1    1    0    2    8
  5 |    0    0    1    2    0   83    0    0    1    0
  6 |    3    0    0    0    2    4   78    0    0    0
  7 |    0    1    4    7    1    1    0   84    0    1
  8 |    0    0    0    5    0    1    0    1   81    1
  9 |    0    1    0    1    2    2    0    1    4   83
