Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   81    0    0    1    1    1    0    0    1    0
  1 |    0  123    1    2    0    0    0    0    0    0
  2 |    1    1   99    7    0    0    1    3    1    3
  3 |    0    0    4   97    0    3    0    1    1    1
  4 |    0    0    2    0  103    0    1    0    2    2
  5 |    1    1    0    1    1   73    2    0    7    1
  6 |    1    0    0    0    1    3   82    0    0    0
  7 |    0    1    3    6    3    0    0   81    1    4
  8 |    2    0    0    6    0    0    0    1   79    1
  9 |    0    1    0    2    8    0    0    1    2   80
