Confusion Matrix
(rows = actual, columns = predicted)

         0    1    2    3    4    5    6    7    8    9
     --------------------------------------------------
  0 |   80    0    1    0    0    0    3    0    1    0
  1 |    0  122    1    0    3    0    0    0    0    0
  2 |    1    1  103    2    0    0    0    3    5    1
  3 |    0    0    8   90    0    0    2    2    4    1
  4 |    1    1    1    0   95    1    1    0    1    9
  5 |    0    0    0    7    0   68    2    0    8    2
  6 |    3    0    0    0    0    0   84    0    0    0
  7 |    0    0    2    5    5    0    0   78    3    6
  8 |    2    1    1    3    2    0    1    1   76    2
  9 |    0    0    0    1    3    0    0    1    3   86
