Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    81    0    2    0    0    0    1    0    1    0 | 95.3%
  1 |     0  121    0    1    1    0    0    1    2    0 | 96.0%
  2 |     2    1  105    1    0    0    0    4    3    0 | 90.5%
  3 |     0    0    1   95    1    4    2    0    3    1 | 88.8%
  4 |     0    2    0    0  101    0    1    1    3    2 | 91.8%
  5 |     1    0    1    5    2   70    3    1    3    1 | 80.5%
  6 |     3    0    0    0    2    1   80    0    1    0 | 92.0%
  7 |     0    3    4    1    3    0    0   85    0    3 | 85.9%
  8 |     3    0    2    1    2    0    1    0   77    3 | 86.5%
  9 |     0    1    0    2   12    0    0    3    4   72 | 76.6%
