Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    75    0    0    0    0    3    6    0    1    0 | 88.2%
  1 |     0  117    2    1    3    0    1    1    1    0 | 92.9%
  2 |     1    0   95    4    0    1    3    3    9    0 | 81.9%
  3 |     0    0    0   97    0    3    3    3    1    0 | 90.7%
  4 |     0    3    1    0   94    2    2    3    3    2 | 85.5%
  5 |     0    0    0    8    0   72    3    3    1    0 | 82.8%
  6 |     1    0    0    1    2    3   80    0    0    0 | 92.0%
  7 |     0    4    1    6    2    0    0   83    0    3 | 83.8%
  8 |     2    0    1    8    2    1    2    0   69    4 | 77.5%
  9 |     0    2    0    2   11    0    0    7    4   68 | 72.3%
