Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    82    0    0    0    0    0    1    2    0    0 | 96.5%
  1 |     0  122    1    1    1    0    1    0    0    0 | 96.8%
  2 |     1    1  106    2    0    1    0    1    4    0 | 91.4%
  3 |     1    0    0  101    0    3    0    0    1    1 | 94.4%
  4 |     1    0    0    0  103    0    0    0    2    4 | 93.6%
  5 |     0    0    0    2    0   84    0    0    1    0 | 96.6%
  6 |     3    0    0    0    0    4   80    0    0    0 | 92.0%
  7 |     0    1    2    5    0    0    0   87    0    4 | 87.9%
  8 |     1    0    1    3    0    1    0    1   81    1 | 91.0%
  9 |     0    1    1    1    1    0    0    1    3   86 | 91.5%
