Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    80    0    2    0    1    0    2    0    0    0 | 94.1%
  1 |     0  123    1    0    0    1    0    1    0    0 | 97.6%
  2 |     2    0   99    5    2    0    0    5    3    0 | 85.3%
  3 |     1    1    2   94    1    2    1    1    3    1 | 87.9%
  4 |     0    0    3    0   94    0    1    0    3    9 | 85.5%
  5 |     0    0    1    2    1   80    1    0    2    0 | 92.0%
  6 |     5    0    0    0    0    2   79    0    1    0 | 90.8%
  7 |     0    0    0    2    1    0    0   92    0    4 | 92.9%
  8 |     2    0    1    5    3    2    0    1   70    5 | 78.7%
  9 |     0    1    0    0    6    1    0    2    2   82 | 87.2%
