Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   82    0    0    0    1    0    1    0    1    0
  1 |    0  124    1    1    0    0    0    0    0    0
  2 |    1    5   97    2    0    0    1    6    2    2
  3 |    1    0    4   95    0    4    0    2    1    0
  4 |    0    0    0    0  100    0    1    4    1    4
  5 |    1    0    0    2    1   75    2    0    5    1
  6 |    1    0    0    0    0    1   84    0    1    0
  7 |    0    3    3    1    0    0    0   89    0    3
  8 |    3    0    2    3    1    0    0    2   76    2
  9 |    0    1    0    0    1    1    0    2    3   86
