Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    79    0    2    0    0    0    1    3    0    0 | 92.9%
  1 |     0  121    2    0    1    0    0    0    2    0 | 96.0%
  2 |     3    1   98    0    0    0    2    4    8    0 | 84.5%
  3 |     0    1    5   92    1    3    1    3    1    0 | 86.0%
  4 |     0    1    2    1   97    1    1    1    3    3 | 88.2%
  5 |     1    0    0    5    0   65    2    1   11    2 | 74.7%
  6 |     5    0    0    0    2    4   76    0    0    0 | 87.4%
  7 |     0    1    2    1    4    0    0   85    3    3 | 85.9%
  8 |     1    1    2    5    2    2    2    1   70    3 | 78.7%
  9 |     0    1    1    1    6    0    0    6    7   72 | 76.6%
