Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   83    0    0    0    0    0    1    0    1    0
  1 |    0  125    0    0    0    0    0    0    1    0
  2 |    1    0  104    1    0    0    1    4    5    0
  3 |    1    0    2   90    1    2    1    2    7    1
  4 |    0    1    0    0  100    0    3    0    2    4
  5 |    2    0    0    1    0   81    1    1    1    0
  6 |    3    0    0    0    0    1   82    1    0    0
  7 |    0    0    3    1    1    0    0   92    0    2
  8 |    2    0    2    4    1    1    0    0   77    2
  9 |    0    0    1    1    2    0    0    4    3   83
