Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   76    0    1    0    0    2    2    1    2    1
  1 |    0  125    0    0    0    1    0    0    0    0
  2 |    0    0   99    3    1    1    1    3    5    3
  3 |    0    1    1   99    0    5    0    1    0    0
  4 |    0    0    2    0   87    0    3    0    6   12
  5 |    0    0    0    5    0   74    1    0    6    1
  6 |    2    0    0    0    1    3   79    1    1    0
  7 |    0    1    6    5    0    1    0   75    1   10
  8 |    0    0    1    4    0    0    0    0   83    1
  9 |    0    1    0    2    1    0    0    1    3   86
