Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    79    0    1    0    0    1    3    0    1    0 | 92.9%
  1 |     0  122    1    1    0    0    1    0    1    0 | 96.8%
  2 |     1    1  104    5    0    0    0    3    2    0 | 89.7%
  3 |     1    0    0  105    0    0    0    0    1    0 | 98.1%
  4 |     0    2    0    0   97    0    3    1    1    6 | 88.2%
  5 |     1    0    0    3    0   78    0    0    4    1 | 89.7%
  6 |     5    0    0    0    0    1   81    0    0    0 | 93.1%
  7 |     0    0    1   10    0    0    0   86    0    2 | 86.9%
  8 |     3    0    1   11    1    1    0    2   68    2 | 76.4%
  9 |     0    0    0    4    2    0    0    2    2   84 | 89.4%
