Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    81    0    0    0    1    0    0    0    3    0 | 95.3%
  1 |     0  124    1    0    0    0    0    0    1    0 | 98.4%
  2 |     2    1  103    3    1    0    1    3    1    1 | 88.8%
  3 |     0    1    3   93    0    5    0    3    2    0 | 86.9%
  4 |     1    0    2    0  100    0    1    0    3    3 | 90.9%
  5 |     0    0    0    2    0   75    2    2    5    1 | 86.2%
  6 |     1    0    0    0    0    1   84    0    1    0 | 96.6%
  7 |     0    1    1    2    1    0    0   92    0    2 | 92.9%
  8 |     2    0    0    3    0    0    0    1   82    1 | 92.1%
  9 |     0    1    0    0    1    0    0    5    3   84 | 89.4%
