Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    82    0    0    0    0    0    3    0    0    0 | 96.5%
  1 |     0  123    0    1    0    2    0    0    0    0 | 97.6%
  2 |     4    1  101    2    0    0    0    3    4    1 | 87.1%
  3 |     0    0    2   99    1    2    1    1    1    0 | 92.5%
  4 |     0    1    0    0  100    0    1    2    0    6 | 90.9%
  5 |     1    0    0    1    0   78    2    0    4    1 | 89.7%
  6 |     5    0    0    0    2    1   79    0    0    0 | 90.8%
  7 |     0    3    2    0    1    1    0   86    1    5 | 86.9%
  8 |     1    0    2    2    3    5    0    2   70    4 | 78.7%
  9 |     0    1    0    0    3    2    0    1    2   85 | 90.4%
